num,name
514,大黒湯（休業中）
518,大塚湯
520,みどり湯
521,旭湯
526,千代の湯
528,湯〜ゆランドあずま
529,妙法湯
530,五色湯
533,健康ランド末広湯
537,小松湯
540,稲荷湯
541,ゆラックス
542,平和湯
545,前田湯
546,宮下湯
547,巣鴨湯
548,やすらぎの湯　ニュー椿
552,大塚記念湯
554,香取湯
556,えびす湯
557,鶴の湯
558,飛鳥山温泉
559,滝野川浴場
560,滝野川稲荷湯
561,クアパレスゆうゆう
565,大黒湯
566,松の湯
569,豊島湯
571,宝泉湯
572,金星湯
575,やなぎ湯
577,COCOFURO（ココフロ）かが浴場
578,十條湯
579,岩の湯
580,お玉湯
581,富士の湯
582,藤の湯
583,平和湯
585,ＨＯＴランドみどり湯
586,テルメ末広
587,露天風呂ゆの花
588,ゆーらんど
590,さくら湯
591,金松湯
592,第二富士見湯
593,梅の湯（休業中）
595,愛染湯
596,一の湯
599,アクアセゾン
601,パブリバ八光
602,寿湯
603,湯～ハウス
605,大黒湯
606,クアパレス藤
607,みやこ湯
610,熊野湯
611,松の湯
612,紀の国湯
613,清水湯
614,初音湯
616,岩の湯
617,ときわ健康温泉
618,第一金乗湯
619,功泉湯
621,光徳湯
622,黄金湯
623,江古田湯
625,浅間湯
626,川場湯
627,天然温泉 久松湯
630,平和湯
631,中村浴場
633,貫井浴場
636,ゆ～ポッポ
637,桑の湯
638,小川バスマンション
640,辰巳湯
641,たつの湯
642,練馬湯遊邸 松の湯
644,豊宏湯
646,第二亀の湯
648,三原台 富士の湯
649,美寿々湯
651,美保湯（休業中）
652,松見湯
653,立川湯屋敷 梅の湯
654,鳩の湯
655,富士見湯健康セントー
656,神明湯
657,砂川湯
659,昭和湯
660,富士見湯
661,ぬくい湯
662,桃の湯
664,旭湯
666,府中湯楽館 桜湯
667,松の湯（府中）
668,藤の湯
669,調布鶴の湯
670,神代湯
671,梅の湯
672,湯の森 深大湯
673,富の湯
674,狛江湯
676,お湯どころ野川
681,境南浴場
682,春の湯
684,千代乃湯
685,のぼり湯
689,桜湯
692,ゆパウザひばり
693,庚申湯
697,源の湯
698,第二喜多の湯
699,稲荷湯
700,松の湯（八王子）
704,大蔵湯
