name,num,images,description,website
タイムリゾート,13,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_6969-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_6970-258x350.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_6971-260x350.jpg""]",浴槽の種類が豊富で、特にラドン浴室、岩風呂をお客さまに喜んでいただいています。広くてくつろげるロビーでBGMをお楽しみください。サウナは男湯のみです。WEB1010の紹介記事はこちら。最新の銭湯情報はこちら,https://arakawa-sento.jp/2026/03/06/taimurizoto/
高砂湯,14,"[""https://www.1010.or.jp/map/wp-content/uploads/2015/03/1_ph15-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/2015/03/2_ph10-300x200.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/2015/03/3_ph7-300x200.jpg""]",テレビ付サウナ室で疲労回復、明日への活力を養いましょう。浴室と浴槽の各所に転倒防止の手すりを設置しています。日替わりの薬湯、熱めのお湯、強力ジェット、よく冷えた水風呂、広いロビーが自慢です。銭湯ランナーの荷物の一時預かりサービスしています。最新の銭湯情報はこちら,
押上温泉 大黒湯,15,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_7001-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_7002-350x263.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_7003-350x233.jpg""]",天然温泉、日替わり薬湯、大きな露天風呂、スチーム塩サウナ、遠赤外線サウナ、高濃度の炭酸泉、ナノ温泉水、歩行浴、強力ジェット、スカイツリーが見える風呂などなど……自慢は尽きません。WEB1010の紹介記事はこちら。WEB1010の紹介記事（マンガ）はこちら。インドアビューはこちら。最新の銭湯情報はこちら,http://daikokuyu.com
寺島浴場,16,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_7028-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_7029-350x263.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_7030-350x263.jpg""]",BGMが流れる明るい浴室は広くて静かで、ぬる湯（38℃）の森林浴などが好評。低周波の電気風呂や岩盤浴など浴槽設備の種類が豊富で、特にジェットが強力です。井戸水を沸かした湯を堪能して下さい。水戸街道の向島消防署並びにあります。WEB1010の紹介記事（前編）はこちら。WEB1010の紹介記事（後編）はこちら。WEB1010の紹介記事（マンガ）はこちら。インドアビューはこちら。最新の銭湯情報はこちら,http://www.terajima-yokujo.com/
ニュー松の湯,17,"[""https://www.1010.or.jp/map/wp-content/uploads/2015/03/3f03485907e8db9cec748c68132243d5-250x170.png""]",銭湯ランナー大歓迎（荷物の一時預かり可能）。挨拶と掃除が行き届いています。インドアビューはこちら。最新の銭湯情報はこちら,
第二久の湯,18,"[""https://www.1010.or.jp/map/wp-content/uploads/2015/03/d8191d31babc3e2aed323bc8a1cbd4b9-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/2015/03/4e71fd600cb980506ac03ffa7de8881b-300x191.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/2015/03/13b53d65507b7252c544f8cc9432bc50-300x277.jpg""]",日替わり薬湯を行っています。よく冷えた水風呂も好評です。インドアビューはこちら。最新の銭湯情報はこちら,https://sites.google.com/view/hisanoyu
喜楽湯,19,"[""https://www.1010.or.jp/map/wp-content/uploads/2015/03/top_8109-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/2015/03/1_8118-300x200.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/2015/03/2_8022-300x200.jpg""]",日替わり薬湯を行っています。挨拶がいいとお客さまにいつもほめられています。WEB1010の紹介記事はこちら。インドアビューはこちら。最新の銭湯情報はこちら,
ニコニコ湯,20,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_7113-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_7114-350x234.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_7115-350x234.jpg""]",薬湯でリラックス、エステでマッサージ、小プールでお子さんも大喜び。浴室が男女で日替わりのため、設備が毎日異なります。日替わりの薬湯を実施。浴槽設備の種類が豊富です。銭湯ランナー歓迎(荷物の一時預かり可能)。WEB1010の紹介記事はこちら。最新の銭湯情報はこちら,https://adachi1010.tokyo/archives/473
若松湯,21,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_7165-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_7166-350x234.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_7167-263x350.jpg""]",岩風呂の漢方薬湯と軟水の湯で体ポカポカ、お肌ツルツル！　ミスト森林浴もどうぞ。浴槽設備の種類が豊富で、井戸水を使っています。BGMが流れる店内で、ゆったりとした時間をお過ごしください。インドアビューはこちら。WEB1010の紹介記事はこちら。最新の銭湯情報はこちら,https://www.wakamatsuyu.com/
星谷浴泉,22,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_7225-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_7226-233x350.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_7227-350x233.jpg""]",ペンキ絵があり、薪で沸かしたお湯の昔ながらの銭湯です。男湯には血圧計が、女湯にはパッチワークが展示されています。最終入店時刻は22:30。WEB1010の紹介記事はこちら。最新の銭湯情報はこちら,https://adachi1010.tokyo/archives/390
大平湯,23,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_7291-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_7292-234x350.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_7293-350x234.jpg""]",2001年にリニューアルオープン。建築家・今井健太郎氏が設計した銭湯の第1号店。歩行湯が人気です。日曜日は朝湯をやっています。ドライヤー無料。飲食コーナーのメニューが充実しています。大きなテレビを設置しているほか、BGMを流しています。WEB1010の紹介記事はこちら。最新の銭湯情報はこちら,https://adachi1010.tokyo/archives/358
アクアガーデン栄湯,24,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_4711-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_4712-350x245.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_4713-350x245.jpg""]",体にやさしく、子供も喜ぶぬるめの湯。大人は疲れをほぐし、やみつきになる電気ブロ、浅い浴槽もありますから、お子様にも安心して入浴いただけ、家族で楽しめます。祝日と週末は日替わり薬湯の露天風呂をお楽しみください。キーンと冷えた生ビールやソフトドリンクも待ってます。最新の銭湯情報はこちら,https://katsushika1010.com/sento/%E3%82%A2%E3%82%AF%E3%82%A2%E3%82%AC%E3%83%BC%E3%83%87%E3%83
興和浴場,25,"[""https://www.1010.or.jp/map/wp-content/uploads/2015/03/26_kama_kouwa_a-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/2015/03/26_kama_kouwa_b-300x193.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/2015/03/26_kama_kouwa_c-300x193.jpg""]",ペンキ絵が自慢の銭湯です。駐車場は3台までご利用いただけます。最新の銭湯情報はこちら,https://katsushika1010.com/sento/%E8%88%88%E5%92%8C%E6%B5%B4%E5%A0%B4/
第一日立湯,26,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_4759-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_4760-350x244.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_4761-350x245.jpg""]",いつも清潔、日替わり薬湯、店内明るく、庭と池の大きな鯉が魅力。日替わり薬湯はもちろん、毎週日曜日のハーブ湯は特に大好評。四季折々の花が愛でる庭、池には錦鯉が気持ちよく泳いでいます。唐破風様式の宮造り銭湯で、浴室、脱衣場、ロビーの天井が高く、広い空間でゆったりと開放感が味わえます。最新の銭湯情報はこちら,https://katsushika1010.com/sento/%E7%AC%AC%E4%B8%80%E6%97%A5%E7%AB%8B%E6%B9%AF/
さつき湯,27,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_4772-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_4773-240x350.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_4774-350x234.jpg""]",湿式サウナと日替わりの薬湯が自慢です。最新の銭湯情報はこちら,https://katsushika1010.com/sento/%E3%81%95%E3%81%A4%E3%81%8D%E6%B9%AF/
金泉湯,28,"[""https://www.1010.or.jp/map/wp-content/uploads/2015/03/11108-1-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/2015/03/11108-2-300x210.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/2015/03/11108-3-300x210.jpg""]",低温風呂で心身ともリラックスしてください。足湯で足裏マッサージ。銭湯はいいよ！インドアビューはこちら。最新の銭湯情報はこちら,https://www.oyunofuji1010.com/gallery/1820/
竹の湯,29,"[""https://www.1010.or.jp/map/wp-content/uploads/2015/03/bcf86494817f95a23db323c07f580971-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/2015/03/6e534f15907942605f36e905df0b76cf-300x200.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/2015/03/b3cef1f2175bd4e5944c1f7bd0902be1-300x200.jpg""]",ペンキ絵があり、井戸水を沸かす昔ながらのお風呂です。レトロ気分が満喫できます。気持ちのよい挨拶を心がけています。インドアビューはこちら。最新の銭湯情報はこちら,https://www.oyunofuji1010.com/gallery/2279/
あづま浴泉,30,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_4882-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_4883-350x263.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_4884-350x263.jpg""]",高い天井の広い浴室には自然光が入り、リラックスできる空間になっています。いつも清潔です。浴槽設備の種類が豊富で、日替わり薬湯が人気です。よく冷えた水風呂も好評。広いロビーで大型テレビを楽しんでお帰りください。インドアビューはこちら。紹介エッセイはこちら。最新の銭湯情報はこちら,https://www.oyunofuji1010.com/gallery/2067/
庄楽の湯,31,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_4897-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_4898-233x350.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_4899-350x233.jpg""]",2013年6月24日リニューアルオープン。BGMが店内に流れ、浴槽設備の種類が豊富。水風呂もあります。くつろげる広いロビーには大型テレビを設置。最終入店時間は21:30です。インドアビューはこちら。最新の銭湯情報はこちら,http://syourakunoyu.sakura.ne.jp/
竹の湯,32,"[""https://www.1010.or.jp/map/wp-content/uploads/import/eyecatch_0_2466-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import/eyecatch_1_2467-500x368.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import/eyecatch_2_2468-375x500.jpg""]",日替わり薬湯が人気です。神楽坂からも徒歩4分。乾式サウナは男湯のみ、ミストサウナは男女にあります。電気風呂は男湯のみです。最新の銭湯情報はこちら,http://1010yuge-g.jp/
